recorded,ds1,mf1,rf1,ds2,mf2,rf2,ds3,mf3,rf3,num_neg,num_pos
2021-02-22 03:29,3.353240741,0.805555555,0.711111111,5.451851852,1.287962963,1.173148148,0.949074074,0.218518518,0.199074074,9,29
2021-02-22 03:59,4.270370371,0.966666667,0.848148148,5.596296296,1.251851852,1.12962963,1.855555555,0.466666666,0.407407407,5,12
2021-02-22 04:29,6.077777778,1.411111111,1.262962963,7.222222222,1.774074074,1.548148148,2.477777778,0.685185185,0.570370371,13,13
2021-02-22 04:59,14.80839947,4.125925926,3.605776014,14.5268739,3.92989418,3.619598765,6.685846561,1.853769842,1.643584656,12,14
2021-02-22 05:29,20.85185185,6.49845679,5.734567902,21.77469136,6.345679012,5.961419753,12.06172839,3.512345679,3.140432099,3,15
2021-02-22 05:59,31.75308642,12.34876543,11.22839506,30.16049383,11.29938272,10.43209877,19.41666667,7.314814816,6.546296296,2,8
2021-02-22 06:29,48.17283951,18.63580247,17.96296297,45.5154321,17.30864198,16.85185185,32.64814815,12.47222222,11.93209877,9,7
2021-02-22 06:59,62.52469136,27.77160494,27.41975309,60.52160494,26.86728395,26.44753087,50.13888889,22.75,21.91975309,13,8
2021-02-22 07:29,79.87962963,37.21296296,38.45370371,76.31481482,36,36.95370371,64.49074074,31.05555556,31.13888889,8,13
2021-02-22 07:59,83.44444445,36.02777778,40.75,79.30555556,34.36111111,38.98148148,72.75925926,30.34259259,35.62962963,4,7
2021-02-22 08:29,80.15162037,32.75810185,38.91203704,76.83796297,30.88888889,37.7025463,70.19328704,27.95949074,34.01967593,4,17
2021-02-22 08:59,74.67592593,32.42592593,35.88541667,65.86458333,29.15509259,31.96412037,54.08101852,23.95486111,25.83449074,16,19
2021-02-22 09:29,69.50617284,30.58487654,31.91512346,60.9691358,27.99884259,28.16975309,44.5150463,20.03587963,20.01080247,17,21
2021-02-22 09:59,67.45987655,28.53703704,28.72530864,62.29320988,26.92592593,27.05864198,40.68827161,17.85493827,17.30246914,18,20
2021-02-22 10:29,60.89699074,23.36072531,23.19328704,53.52584877,20.75424383,20.85648148,37.94521605,14.56674383,14.43518519,15,23
2021-02-22 10:59,61.10890653,23.03218695,22.82627866,57.43915344,21.99029982,21.99338624,35.38536156,13.19664903,12.93606702,13,19
2021-02-22 11:29,59.11805556,23.54398148,23.37345679,53.81828704,21.80169753,21.6867284,34.99035494,13.47337963,13.35069445,20,27
2021-02-22 11:59,61.62654321,26.31349206,25.99294533,58.64462081,25.59391535,25.25793651,40.88932981,17.4457672,16.92680776,22,21
2021-02-22 12:29,60.96208113,24.15917108,24.42195767,58.2627866,23.37301587,23.48897708,42.89550265,17.19929453,16.90035274,7,11
2021-02-22 12:59,64.25925926,28.05246914,27.80555556,58.87345679,26.18518519,26.18518518,42.67901235,18.43209876,18.10802469,7,14
2021-02-22 13:29,64.88618827,27.24845679,27.32175926,61.07407407,25.92283951,26.07561728,39.56095679,16.30555556,15.94868827,7,15
2021-02-22 13:59,67.73148148,28.58950617,28.66666667,60.35802469,26.25,26.12345679,40.7962963,17.53395062,17.0925926,6,6
2021-02-22 14:29,65.08333333,28.69135803,28.7345679,63.84259259,28.90740741,29.02469136,49.46604938,22.16049383,21.72222222,4,12
2021-02-22 14:59,69.55555556,32.16666667,32.17592593,64.71913581,30.3271605,30.24382716,51.83641976,23.88580247,23.50308642,3,2
2021-02-22 15:29,70.39891976,29.91203704,30.13657408,66.10493827,28.9830247,29.04475309,48.28549383,21.06867284,20.74151234,0,3
2021-02-22 15:59,77.60449736,34.06613757,35.24603175,72.83730159,33.02777778,33.52116403,63.53174603,28.54497355,28.73412699,3,4
2021-02-22 16:29,79.96875,34.24652778,39.25462963,76.68634259,35.01736111,38.08333334,61.78472222,26.82870371,29.95833334,0,2
2021-02-22 16:59,79.15123457,33.17592593,37.86419753,72.63580247,32.63888889,35.50308642,57.66358025,26.26851852,27.65740741,2,2
2021-02-22 17:29,79.97685185,29.86111111,35.83333333,73.77314815,29.88888889,33.64351852,61.45370371,25.10185185,27.2962963,1,2
2021-02-22 17:59,74.07655423,29.55671297,34.79828042,67.85019842,29.22536376,32.50165344,51.58680556,21.68634259,24.12119709,2,3
2021-02-22 18:29,67.82908951,28.77430556,29.04243827,62.49537037,27.34722222,27.19675926,48.13888889,21.20447531,20.41859568,0,2
2021-02-22 18:59,60.02645503,22.99382716,22.80996473,52.9457672,20.8813933,20.58289242,37.96296296,14.91534391,14.4845679,0,0
2021-02-22 19:29,47.96164021,17.50176367,17.05246914,47.62169312,17.43430335,17.10626102,31.18783069,11.38756614,10.9691358,2,2
2021-02-22 19:59,42.23611111,15.3757716,14.64969136,39.21450618,14.23533951,13.69212963,23.77006173,8.658950618,8.06867284,2,1
2021-02-22 20:29,38.75396826,14.5180776,13.59082893,34.98853616,13.32098765,12.53747795,20.12830688,7.723985891,7.067460318,6,13
2021-02-22 20:59,31.84027778,11.77469136,11.04166667,29.3742284,10.83873457,10.3441358,19.05478395,6.722222222,6.260030864,1,15
2021-02-22 21:29,29.50385802,10.56635802,10.55864198,30.92785494,11.09529321,11.39583333,16.65084877,5.785108025,6.164737655,10,10
2021-02-22 21:59,20.41975309,8.200617284,7.589506173,20.62037037,8.305555555,7.694444445,11.3117284,4.530864198,3.944444445,7,13
2021-02-22 22:29,17.80820106,6.653880071,6.153659612,19.60962302,7.668595679,7.000496032,9.478560405,3.616622575,3.210593033,14,12
2021-02-22 22:59,14.25617284,4.216049383,3.831790123,15.5462963,4.608024691,4.206790124,6.841049384,1.854938272,1.791666667,12,24
2021-02-22 23:29,7.7654321,2.630291005,2.389936067,10.93964947,3.423996914,3.163359788,5.162643298,1.454695767,1.586089065,13,20
2021-02-23 00:29,5.28497575,1.504354057,1.270359348,6.452237654,1.781084656,1.627722663,1.932010582,0.567603615,0.468716931,17,35
2021-02-23 00:59,4.137037037,0.874074074,0.792592593,5.644444445,1.22962963,1.111111111,1.766666667,0.396296296,0.340740741,7,14
